Name,Fatalities
Aeroflot - Russian International Airlines,11308
United States Air Force - USAF (since 1947),8207
Royal Air Force - RAF,7988
United States Army Air Forces - USAAF (1941-1947),6904
United States Navy - USN,4087
Air France,1752
Pan American World Airways - PAA,1652
American Airlines,1453
Soviet Air Force - Voyenno-vozdushnye sily CCCP,1452
United Airlines,1217
German Air Force - Deutsche Luftwaffe,1190
Royal Australian Air Force - RAAF,1030
French Air Force - Armée de l'Air,1009
Avianca,992
Trans World Airlines - TWA,960
Turkish Airlines - THY Türk Hava Yollari,900
Indian Airlines,882
China Airlines,857
Pakistan International Airlines - PIA,852
KLM Royal Dutch Airlines - Koninklijke Luchtvaart Maatschappij,832
Air India,809
Japan Airlines,770
Eastern Airlines,766
Brazilian Air Force - Força Aérea Brasileira (1941-),761
Korean Air,746
Indian Air Force - Bharatiya Vayu Sena,722
Cubana de Aviación,710
Malaysian Airlines System - MAS,671
Saudi Arabian Airlines - SAUDIA,660
Royal Canadian Air Force - RCAF,653
Northwest Airlines,632
Garuda Indonesian Airways,615
Iberia - Lineas Aéreas de Espana,609
British Overseas Airways Corporation - BOAC,604
Iran Air,561
CSA Czech Airlines - ?eskoslovenské Státní Aerolinie,551
British European Airways - BEA,538
Afghan Republican Air Force - Afghan Hanai Qurah,517
Egyptair,514
Russian Air Force - Voyenno-vozdushnye sily Rossii,513
Indonesian Air Force - TNI-AU Tentara Nasional Indonesia - Angkatan Udara,513
Islamic Republic of Iran Air Force,502
CAAC - Civil Aviation Administration of China,500
Ethiopian Airlines,495
Philippine Airlines - PAL,481
Peruvian Air Force - Fuerza Aérea del Perú,479
Royal Jordanian Airlines - ALIA,463
Alitalia - Linee Aeree Italiane,461
Lloyd Aéreo Boliviano - LAB Airlines,455
VASP - Viação Aérea de São Paulo,442
VARIG - Viação Aérea Rio Grandense,439
Linea Aeropostal Venezolana - LAV,435
LOT Polish Airlines - Polskie Linie Lotnicze,433
Air Vietnam,431
Nigeria Airways,431
SABENA - Société Anonyme Belge d'Exploitation de la Navigation Aérienne,417
Swissair,415
Mexicana de Aviación,413
Argentinian Air Force - Fuerza Aérea Argentina,411
Deutsche Lufthansa,397
All Nippon Airways,387
Thai Airways International,382
Transportes Aéreos Mercantiles Ecuatorianos - TAME,378
Spanish Air Force - Ejército del Aire,376
Faucett,372
Inex-Adria Airways,368
South African Airways -SAA - Suid Afrikaanse Lugdiens - SAL,360
French Navy (Aéronavale - Marine Nationale),358
Algerian Air Force - Al Quwwat Aljawwija Aljaza'Eriiya,355
Royal New Zealand Air Force - RNZAF,354
China National Aviation Corporation - CNAC,353
TAM Brasil - Taxi Aéreo Marilia - Transportes Aéreos Regionais,350
United Arab Airlines,346
Aerolineas Argentinas,340
Private American,337
Colombian Air Force - Fuerza Aérea Colombiana,337
Merpati Nusantara Airlines - MNA,326
Philippine Air Force - Hukbong Himpapawid NG Pilipinas,325
Islamic Revolutionary Guard Corps,324
Balkan Bulgarian Airlines,322
Angola Air Force - Força Aérea Nacional Angolana,317
SATENA - Servicio de Aeronavegacion a Territorios Nacionales,315
Delta Airlines,307
Panair do Brasil,305
African Air,298
Kenya Airways,283
Flying Tiger Line,283
Ariana Afghan Airlines,281
Iran Airtour,278
TAM Bolivia - Transporte Aéreo Militar Boliviano,269
TAROM - Transporturile Aeriene Române,266
Dan-Air London,265
Libyan Arab Airlines,265
Air New Zealand,261
Turkish Air Force - Türk Hava Kuvvetleri,257
Hellenic Air Force - Elleniki Polemiki Aeroporia,257
Arrow Air,256
Gulf Air,255
SAM Colombia - Sociedad Aeronáutica de Medellín,255
Trans-Canada Air Lines - TCAL,254
